instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
0,mesh_3x2,mesh,33.34,18,6,14,0.6406530152575756,0.5443310539518174,0.18818799586467364,0.0015888583907914258,True
1,sp_sp7,sp,13.41,12,9,12,0.9999846482406103,0.0,0.0,0.0,False
2,er_n7_p0.31,er,13.39,9,6,12,0.6086880427060715,0.0,0.0,0.0,False
3,er_n8_p0.3,er,11.2,14,4,5,0.9996466278487819,0.0,0.0,0.0,False
4,er_n6_p0.34,er,22.13,9,6,13,0.2318056751507598,0.21081851067789195,0.23529411764693595,0.2499999999998639,True
5,mesh_3x2,mesh,15.0,22,6,14,0.07665039743285154,0.5443310539518174,0.2083333333332215,0.24999999999984446,True
6,er_n8_p0.41,er,7.8,19,7,19,0.27199429358817206,0.6668859288553501,0.19222084743667245,0.12825198049149722,True
7,mesh_2x5,mesh,21.65,25,10,26,0.9996626443706527,0.3437200312981655,0.1726596348314655,0.11140947767866019,True
8,sp_sp4,sp,16.72,9,6,6,0.9999925913567557,0.0,0.0,0.0,False
9,mesh_2x3,mesh,14.89,23,6,14,0.21471568304619387,0.5443310539518174,0.20833333333321805,0.24999999999983058,True
10,er_n10_p0.44,er,11.63,8,10,49,0.003626365806158917,0.3233590907165799,0.15957109926302382,0.1166571114381742,True
11,sp_sp8,sp,7.01,6,10,14,0.0,0.0,0.0,0.0,False
12,mesh_3x3,mesh,19.32,25,9,24,0.4570086460459184,0.3965088288259146,0.10779166113342194,0.04539387744850371,True
13,sp_sp8,sp,29.58,8,10,12,0.9605311923010201,-0.21557272714438658,0.12301945281074199,0.1665451997981631,True
14,mesh_2x2,mesh,1.95,24,4,8,0.0,0.0,0.0,0.0,False
15,sp_sp8,sp,35.25,10,10,10,0.999999959347311,-0.5879447357921312,0.0,0.026977644099415873,True
16,er_n4_p0.38,er,11.9,6,4,4,0.9755950939166744,0.0,0.0,0.0,False
17,sp_sp6,sp,11.96,13,8,10,0.3359372773786676,0.0,0.0,0.0,False
18,mesh_2x2,mesh,2.86,25,4,8,0.8057844480293708,0.0,0.0,0.0,True
19,sp_sp2,sp,43.43,16,4,3,0.9281818127892888,0.0,0.0,0.0,False
20,mesh_3x3,mesh,23.46,15,9,24,0.9804577935532043,0.28068044571191997,0.15034366571389732,0.0787048622335134,True
21,mesh_3x2,mesh,14.14,25,6,14,0.5656027362835823,0.5443310539518174,0.2083333333332236,0.24999999999985278,True
22,mesh_3x3,mesh,11.25,22,9,24,0.5394303549850881,0.6172133998483676,0.3333333333329951,0.2259383723264379,True
23,sp_sp6,sp,26.5,19,8,9,0.6696818520849865,0.3388226069985336,0.11538402329814489,0.07645300118704894,True
24,sp_sp6,sp,6.88,10,8,9,0.0,0.0,0.0,0.0,False
25,sp_sp8,sp,14.37,6,10,13,0.9524125563257614,-0.24708686630294224,0.044925649932681465,0.07428881075613801,True
26,sp_sp7,sp,12.0,14,9,14,0.4353266876448868,0.0,0.0,0.0,False
27,sp_sp4,sp,20.36,15,6,6,0.999999959958804,0.0,0.0,0.0,False
28,er_n6_p0.34,er,12.09,7,6,10,0.6923924698672431,0.0,0.0,0.0,False
29,mesh_2x2,mesh,6.29,18,4,8,0.0,0.0,0.0,0.0,False
30,mesh_2x4,mesh,3.51,18,8,20,0.9889027737104175,0.7406560798180413,0.30543502341090045,0.17620275888141215,True
31,sp_sp5,sp,13.39,9,7,10,0.5971638448319144,0.4442616583193193,0.18518518518511248,0.1632993161854666,True
32,er_n6_p0.36,er,10.01,16,6,15,0.8450326857482107,0.0,0.0,0.0,False
33,sp_sp6,sp,0.85,18,8,12,0.0,0.0,0.0,0.0,False
34,mesh_2x3,mesh,7.68,22,6,14,0.0,0.0,0.0,0.0,False
35,mesh_3x2,mesh,9.07,16,6,14,0.9855424786459226,0.632455532033676,0.2785976985517865,0.2688963419443203,True
36,mesh_2x5,mesh,8.63,24,10,26,0.9583577219491934,0.30037570459305535,0.2466000244814931,0.13594228947974832,True
37,er_n6_p0.4,er,11.12,12,5,8,0.35614077762056373,0.5000000000000001,0.20833333333322915,0.23570226039539796,True
38,mesh_2x5,mesh,25.96,23,10,26,0.9999999993344074,0.024397501823713332,0.17436122256970377,0.16230878255432107,True
39,er_n4_p0.4,er,10.08,16,4,4,0.9996603598240424,0.0,0.0,0.0,False
40,sp_sp2,sp,4.23,16,4,5,0.0,0.0,0.0,0.0,False
41,sp_sp6,sp,24.12,12,8,8,0.9999979610434229,0.0,0.0,0.0,False
42,mesh_3x2,mesh,10.09,18,6,14,0.9997903319547212,0.316227766016838,0.3237019864813778,0.41137724831309136,True
43,sp_sp8,sp,27.16,20,10,13,0.9999999897769629,-0.23030726004361676,0.1410842493082809,0.3141745569125967,True
44,mesh_3x3,mesh,6.9,18,9,24,0.15476034766791863,0.32025630761017426,0.3333333333330029,0.226077104479865,True
45,sp_sp8,sp,34.6,19,10,12,0.9999999970128934,-0.5048298334850128,0.05833305867830682,0.2167944527007215,True
46,er_n6_p0.36,er,18.95,15,6,14,0.9999464492653513,0.0,0.0,0.0,False
47,mesh_3x4,mesh,14.62,15,12,34,0.5604959059134884,0.5666313615234706,0.13991857050826054,0.12525746671103735,True
48,mesh_3x3,mesh,6.63,25,9,24,0.0,0.0,0.0,0.0,False
49,sp_sp6,sp,21.44,10,8,8,0.8897166509621891,0.23904572186687875,0.1572112263336318,0.18638802121190673,True
50,sp_sp7,sp,10.54,12,9,12,0.2516784635336725,0.6614378277661478,0.14139118662555478,0.10909881088550076,True
51,mesh_3x3,mesh,9.92,15,9,24,0.728851192397947,-0.23904572186687872,0.17528227180038713,0.20869005391991952,True
52,er_n9_p0.3,er,7.16,16,9,22,0.7798428808197806,0.32727272727272727,0.269607843136847,0.22587697572588655,True
53,sp_sp6,sp,7.92,17,8,10,0.19944422384525384,-0.13093073414159545,0.0017377705811852876,0.008095360726728375,True
54,mesh_3x3,mesh,15.87,22,9,24,0.6157399044861056,0.03857583749052298,0.11916568982040555,0.08712982174592553,True
55,er_n5_p0.32,er,7.87,7,5,11,0.3107527377952304,0.8660254037844387,0.33333333333306225,0.23570877456265527,True
56,er_n12_p0.36,er,23.08,9,12,42,0.9993662869534361,-0.10004886391691559,0.21160546688190865,0.18576248617631638,True
57,mesh_4x3,mesh,52.41,17,12,34,0.9999986830487188,0.6737802297335519,0.22198154326609568,0.14887480490810828,True
58,er_n9_p0.34,er,3.96,8,9,24,0.5872153977727429,0.594618725379069,0.26168205839826836,0.22587733376888036,True
59,sp_sp4,sp,46.17,14,6,6,0.9934348964403271,0.0,0.0,0.0,False
60,er_n7_p0.34,er,6.1,17,6,10,0.6358739017665325,-0.9486832980505139,0.16499508978872943,0.2501005698642915,True
61,er_n9_p0.41,er,10.2,7,9,31,0.3873368778357916,0.14285714285714288,0.1354785834723686,0.13171431142230525,True
62,er_n7_p0.41,er,13.44,17,7,16,0.9996611868210985,-0.7071067811865475,0.0023644269066820196,0.032629091312211866,True
63,er_n8_p0.44,er,9.86,6,8,27,0.23443716573189266,0.6571428571428573,0.2165158876662867,0.12822895589570635,True
64,er_n4_p0.35,er,14.27,9,4,5,0.4642837825715947,0.0,0.0,0.0,False
65,mesh_2x5,mesh,6.38,17,10,26,0.0,0.0,0.0,0.0,False
66,mesh_3x3,mesh,7.06,23,9,24,0.0,0.0,0.0,0.0,False
67,sp_sp6,sp,48.33,17,8,9,0.9885041586382167,-0.21251185925162072,0.08776660654684208,0.1921319933928094,True
68,mesh_2x4,mesh,3.64,23,8,20,0.0,0.0,0.0,0.0,False
69,er_n6_p0.39,er,29.08,17,6,13,0.9999999999291862,0.0,0.0,0.0,False
70,er_n6_p0.44,er,17.28,11,5,9,0.9980644649552628,0.0,0.0,0.0,False
71,er_n10_p0.31,er,17.59,17,10,30,0.8685313697230029,0.6904761904761906,0.16201059470490667,0.1251011107914017,True
72,mesh_3x2,mesh,13.98,20,6,14,0.996421141514899,0.7745966692414834,0.20887378525042133,0.2500046733666907,True
73,er_n8_p0.38,er,45.33,20,6,11,0.9999977439850651,0.0,0.0,0.0,False
74,mesh_3x2,mesh,3.97,20,6,14,0.0,0.0,0.0,0.0,False
75,er_n8_p0.37,er,26.42,19,8,19,0.982994196375873,0.0,0.0,0.0,False
76,sp_sp5,sp,6.88,15,7,9,0.0,0.0,0.0,0.0,False
77,er_n10_p0.35,er,11.66,17,9,22,0.06524330478508775,-0.1785714285714286,0.07566283401472425,0.08838466328437562,True
78,sp_sp6,sp,8.4,19,8,10,0.6678059420259149,0.21251185925162072,0.20045779918994922,0.19471127600604501,True
79,sp_sp6,sp,4.23,12,8,11,0.0,0.0,0.0,0.0,False
80,mesh_2x3,mesh,12.84,15,6,14,0.18662002440964734,0.5443310539518174,0.20833333333321805,0.24999999999983058,True
81,mesh_3x3,mesh,12.29,22,9,24,0.957576987080786,0.24325638628366394,0.14848609015029324,0.12616157913234335,True
82,sp_sp3,sp,1.52,6,5,6,0.847417663230712,0.0,0.0,0.0,False
83,mesh_3x3,mesh,17.55,25,9,24,0.9999999939031412,0.3742405942825599,0.11309447207271794,0.09991491184639018,True
84,er_n5_p0.37,er,4.12,13,5,9,0.9999966103842854,0.0,0.0,0.0,False
85,mesh_2x4,mesh,32.99,16,8,20,0.6459205076258987,0.23483410915693106,0.197183098591458,0.23570226039522527,True
86,sp_sp5,sp,7.77,5,7,9,0.04910494291280612,0.35909242322980395,0.1919601061626821,0.14211249783889843,True
87,er_n6_p0.4,er,12.98,7,6,12,0.9555362378127683,0.3333333333333333,0.027190909426843223,0.035322027473472,True
88,er_n8_p0.33,er,25.16,5,7,16,0.9369078714229396,0.0,0.0,0.0,False
89,sp_sp6,sp,19.41,8,8,10,0.5672890120481364,0.6617647058823529,0.19708325873764407,0.17214587800550712,True
90,er_n9_p0.33,er,9.99,19,8,17,0.9961802255277676,0.27322953332351235,0.06578693597265485,0.06690425868853951,True
91,er_n8_p0.39,er,14.33,15,8,22,0.9697393868321922,0.0,0.0,0.0,False
92,mesh_2x5,mesh,11.72,18,10,26,0.9933882575018417,0.4173743237192009,0.20943296978837989,0.1877675771515042,True
93,mesh_2x5,mesh,18.21,18,10,26,0.9833833432585182,0.3396097123883724,0.15005875643278355,0.12650219032001897,True
94,mesh_2x5,mesh,6.18,21,10,26,0.0,0.0,0.0,0.0,False
95,er_n5_p0.35,er,2.2,12,5,8,0.9225651735563034,0.0,0.0,0.0,False
96,mesh_2x4,mesh,7.31,23,8,20,0.0,0.0,0.0,0.0,False
97,er_n4_p0.33,er,2.2,7,3,3,0.8677569905516525,0.0,0.0,0.0,False
98,sp_sp2,sp,29.11,12,4,4,0.9115567529960432,0.0,0.0,0.0,False
99,er_n6_p0.39,er,8.81,10,6,10,0.7183215989036882,0.316227766016838,0.14740503646997735,0.1715549303619236,True
100,sp_sp7,sp,39.87,19,9,10,0.9999999999777058,0.0,0.0,0.0,False
101,sp_sp7,sp,21.17,19,9,11,0.9999714060168347,0.0,0.0,0.0,False
102,mesh_2x3,mesh,1.45,23,6,14,0.6994334662710713,0.7745966692414834,0.20884097069330235,0.25000412309531356,True
103,er_n11_p0.37,er,9.52,12,11,39,0.6473474675139641,0.5499999999999999,0.1539391202560332,0.10856154723531007,True
104,er_n8_p0.37,er,14.15,6,8,20,0.18236618470589022,0.0,0.0,0.0,False
105,er_n8_p0.3,er,23.06,15,8,18,0.9982565407185628,-0.3768511731740915,0.16361167636567658,0.13812838427502977,True
106,sp_sp5,sp,27.77,16,7,10,0.9324372461278014,0.0,0.0,0.0,False
107,sp_sp7,sp,11.97,15,9,12,0.9171578894167228,0.15954480704349314,0.06735551743393477,0.059211479000269435,True
108,sp_sp5,sp,15.22,16,7,9,0.6258370374488994,0.8207826816681234,0.20679944594450983,0.17046339543849962,True
109,sp_sp3,sp,27.83,12,5,4,0.9999931730222931,0.0,0.0,0.0,False
110,mesh_2x4,mesh,3.78,23,8,20,0.545301352656919,-0.2970442628930023,0.19927767552018372,0.23574409563978002,True
111,mesh_2x5,mesh,13.34,20,10,26,0.2063884189449583,0.528814613424173,0.29698857736156986,0.2165063509452963,True
112,sp_sp9,sp,61.74,14,11,15,0.9996568856875003,0.0,0.0,0.0,False
113,er_n8_p0.33,er,22.11,13,8,24,0.42462168456385296,0.942857142857143,0.18520600331497658,0.1276912974174158,True
114,sp_sp5,sp,5.35,8,7,8,0.0,0.0,0.0,0.0,False
115,mesh_2x2,mesh,3.78,20,4,8,0.0,0.0,0.0,0.0,False
116,er_n7_p0.41,er,7.24,16,7,17,0.3819660358704774,-0.051298917604257706,0.19008965774057285,0.24501418519877446,True
117,mesh_2x5,mesh,3.68,17,10,26,0.0,0.0,0.0,0.0,False
118,mesh_3x2,mesh,10.53,15,6,14,0.2711200135926889,0.7745966692414834,0.21013982511685825,0.25005220914920373,True
119,sp_sp2,sp,14.51,9,4,3,0.5714773169279193,0.0,0.0,0.0,False
120,sp_sp5,sp,26.08,7,7,7,0.97764294514263,0.0,0.0,0.0,False
121,sp_sp2,sp,2.92,8,4,3,0.9839210416344549,0.0,0.0,0.0,False
122,mesh_3x3,mesh,5.29,17,9,24,0.0,0.0,0.0,0.0,False
123,er_n7_p0.45,er,10.19,6,7,20,0.9673730024114572,0.0,0.0,0.0,False
124,mesh_2x2,mesh,6.57,17,4,8,0.0,0.0,0.0,0.0,False
125,er_n7_p0.4,er,7.03,6,5,6,0.7833242966308593,0.0,0.0,0.0,False
126,mesh_2x4,mesh,13.42,23,8,20,0.9999878988927806,0.6172133998483678,0.33286930941514203,0.35877584036237475,True
127,er_n10_p0.3,er,34.32,11,10,26,0.9294022363647401,0.0,0.0,0.0,False
128,er_n9_p0.35,er,40.79,16,8,23,0.769015004390722,0.11764705882352942,0.20416666666628183,0.23570226039489553,True
129,mesh_2x4,mesh,10.13,18,8,20,0.10488910688721498,-0.2927700218845599,0.19900198544052985,0.235733808300187,True
130,sp_sp5,sp,7.41,18,7,9,0.9986053331822466,0.0,0.0,0.0,False
131,sp_sp2,sp,0.63,12,4,5,0.0,0.0,0.0,0.0,False
132,mesh_2x5,mesh,7.9,17,10,26,0.5134093903735428,0.6007514091861107,0.29584672672668816,0.21664877116280556,True
133,er_n8_p0.31,er,10.99,18,7,15,0.5380668143679842,0.0,0.0,0.0,False
134,sp_sp8,sp,9.88,15,10,12,0.18076555475970696,0.8224729320348959,0.21856361610449307,0.11122446702066617,True
135,mesh_2x3,mesh,28.96,15,6,14,0.31657173146500356,0.5773502691896257,0.20833333333322915,0.249999999999875,True
136,mesh_3x3,mesh,26.19,23,9,24,0.6226983208058874,0.33166247903553997,0.17847341709558126,0.2094228611069738,True
137,er_n7_p0.41,er,9.25,20,7,17,0.28456880925576916,0.6668859288553501,0.2604531370800582,0.16341236323649297,True
138,er_n8_p0.33,er,13.56,17,8,20,0.7485650427650514,0.0,0.0,0.0,False
139,mesh_3x3,mesh,2.01,23,9,24,0.9935910185819936,0.5800729211379677,0.1588309770767605,0.2992138927379625,True
140,mesh_2x5,mesh,27.64,20,10,26,0.9999995359268206,-0.024397501823713332,0.16673656110801452,0.18134200393028452,True
141,sp_sp5,sp,8.51,8,7,8,0.37855229528457046,-0.44721359549995787,0.13811406435300344,0.07550738165072193,True
142,er_n9_p0.37,er,11.42,12,9,30,0.48120117907308235,0.7500000000000002,0.18462215924649258,0.13097861797906715,True
143,sp_sp2,sp,18.71,12,4,3,0.9998700948682067,0.0,0.0,0.0,False
144,sp_sp5,sp,20.5,18,7,7,0.9999988216339745,-0.8603090020146066,0.07407407136875166,0.24494901908188674,True
145,mesh_3x2,mesh,7.86,18,6,14,0.9990613462556204,0.316227766016838,0.3084684051050556,0.38033172688247235,True
146,sp_sp5,sp,5.55,11,7,9,0.0,0.0,0.0,0.0,False
147,er_n6_p0.43,er,10.01,20,6,11,0.9996876754188533,-0.316227766016838,0.15131042439612763,0.4291145529731761,True
148,mesh_3x4,mesh,8.74,16,12,34,0.12479660041451021,-0.3025210128521264,0.14654758943231022,0.20001670059976018,True
149,sp_sp4,sp,11.27,10,6,7,0.8272213016013882,0.0,0.0,0.0,False
150,mesh_3x3,mesh,9.7,19,9,24,0.07939725354478683,0.19641855032959654,0.33333333333308696,0.22587697572611212,True
151,mesh_3x3,mesh,19.31,25,9,24,0.9999782578304266,0.41166465371081584,0.15784752882735165,0.2057903153698427,True
152,er_n7_p0.35,er,30.39,5,5,11,0.29266288877042657,0.8660254037844387,0.2499999999998688,0.23570226039536657,True
153,er_n5_p0.4,er,11.15,6,5,5,0.9756209114231454,0.0,0.0,0.0,False
154,er_n4_p0.35,er,26.08,11,3,2,0.3904114302759058,0.0,0.0,0.0,False
155,er_n4_p0.3,er,22.56,10,4,5,0.9705182506064797,0.0,0.0,0.0,False
156,mesh_3x3,mesh,4.08,17,9,24,0.9996971781288368,0.7671932182792478,0.22046375009523148,0.16709122370437013,True
157,mesh_2x3,mesh,11.79,21,6,14,0.5648705239094283,0.5773502691896257,0.20833333333322915,0.249999999999875,True
158,mesh_2x2,mesh,6.85,19,4,8,0.0,0.0,0.0,0.0,False
159,er_n7_p0.42,er,11.91,6,7,17,0.5219540406124245,0.09999999999999999,0.16903429673100023,0.13158091940286246,True
160,sp_sp6,sp,12.65,5,8,10,0.94329999388752,-0.13483997249264842,0.004190026356352226,0.05621510256191601,True
161,sp_sp4,sp,9.63,17,6,8,0.9993737105444702,-0.7745966692414834,0.006797727356710806,0.035322027473472,True
162,mesh_3x3,mesh,2.18,24,9,24,0.0,0.0,0.0,0.0,False
163,er_n10_p0.33,er,8.55,10,10,36,0.09280669872988888,0.19047619047619052,0.1465754261575694,0.08455945655442197,True
164,mesh_2x5,mesh,15.94,21,10,26,0.999637954870201,0.4217173561228949,0.14868242670425527,0.1688804314421197,True
165,er_n9_p0.35,er,13.62,8,9,27,0.17453814054331895,0.5929994533288809,0.13186505142731234,0.13731887968391898,True
166,mesh_2x4,mesh,7.82,22,8,20,0.6201913693927359,-0.401188709901439,0.19614628464635633,0.23571251173050872,True
167,er_n6_p0.42,er,6.71,13,6,15,0.9930944723182569,0.0,0.0,0.0,False
168,sp_sp6,sp,18.66,7,8,11,0.9962523429712067,0.0,0.0,0.0,False
169,sp_sp2,sp,39.15,11,4,3,0.9255135170233824,0.0,0.0,0.0,False
170,er_n6_p0.42,er,11.57,20,5,9,0.9280201824871778,0.0,0.0,0.0,True
171,er_n10_p0.33,er,20.0,11,10,30,0.31399776865304885,0.04761904761904763,0.10943030924468601,0.09946061702255263,True
172,sp_sp2,sp,18.54,13,4,4,0.9929844178319969,0.0,0.0,0.0,False
173,sp_sp8,sp,48.74,12,10,11,0.9999999454024384,0.0,0.0,0.0,False
174,er_n4_p0.32,er,11.0,14,3,2,0.7603218165898746,0.0,0.0,0.0,False
175,mesh_3x3,mesh,5.17,23,9,24,0.0,0.0,0.0,0.0,False
176,mesh_2x5,mesh,14.18,21,10,26,0.6319076275868436,0.7718402554281193,0.2969885773608069,0.2165063509439246,True
177,sp_sp7,sp,15.44,18,9,11,0.0,0.0,0.0,0.0,False
178,er_n7_p0.32,er,23.38,6,7,11,0.9843568740573782,0.0,0.0,0.0,False
179,sp_sp8,sp,17.01,15,10,12,0.9823377409036571,-0.018294043331615058,0.12268065447360327,0.297023450949048,True
180,mesh_2x4,mesh,16.68,21,8,20,0.9999904226947011,0.7406560798180413,0.32376645784718777,0.17636289072469777,True
181,mesh_2x4,mesh,18.19,16,8,20,0.8265077459268433,0.6172133998483678,0.19152347214097343,0.1185637088242441,True
182,mesh_2x5,mesh,5.32,18,10,26,0.0,0.0,0.0,0.0,False
183,mesh_3x3,mesh,4.28,23,9,24,0.0,0.0,0.0,0.0,False
184,er_n7_p0.36,er,17.16,10,6,14,0.9343361121320859,-0.316227766016838,0.22434271843180378,0.2500045596050076,True
185,er_n5_p0.33,er,31.89,6,5,9,0.7237888485496089,0.0,0.0,0.0,False
186,mesh_3x4,mesh,17.25,16,12,34,0.5475374396346013,0.31273097002115047,0.11082637635560084,0.09083016047533854,True
187,sp_sp8,sp,20.75,15,10,13,0.9999970594472918,0.0,0.0,0.0,False
188,mesh_3x4,mesh,29.61,19,12,34,0.5080392383597437,0.5015501596686753,0.10118767259169416,0.05303445944215406,True
189,er_n5_p0.32,er,1.59,19,5,6,0.9889219566319576,0.0,0.04369006536255227,0.12357416595337686,True
190,er_n5_p0.41,er,10.67,7,5,9,0.961571278863623,-1.0,0.1316420998548328,0.23592968381657226,True
191,mesh_2x3,mesh,5.68,17,6,14,0.0,0.0,0.0,0.0,False
192,er_n10_p0.43,er,11.52,7,10,40,0.3194915883443926,0.45509797952703834,0.21856158484039578,0.21650635094566667,True
193,sp_sp3,sp,4.74,7,5,5,0.0,0.0,0.0,0.0,False
194,er_n6_p0.3,er,25.02,8,6,10,0.4158923596952405,0.0,0.0,0.0,False
195,mesh_2x4,mesh,12.34,25,8,20,0.7974825621673924,0.49377071987869414,0.19028605891297612,0.12207738238691315,True
196,er_n6_p0.34,er,7.3,18,6,10,0.8130914968716988,0.5000000000000001,0.320334805950778,0.25004819460344724,True
197,mesh_3x3,mesh,9.27,20,9,24,0.12776133008709195,0.4183300132670378,0.18573399971920768,0.2195808630000667,True
198,er_n6_p0.4,er,11.44,18,6,12,0.9992862906778809,0.7999999999999999,0.2923822751704503,0.23345786546480865,True
199,mesh_2x4,mesh,5.91,18,8,20,0.0,0.0,0.0,0.0,False
200,er_n7_p0.34,er,8.13,10,6,13,0.8625998257010276,-0.39999999999999997,0.1552117020656479,0.14839213750575234,True
201,er_n5_p0.39,er,6.72,20,4,8,0.999384028033435,0.0,0.0,0.0,False
202,er_n8_p0.31,er,22.04,16,8,19,0.9999671280220566,0.20291986247835694,0.1925208659463882,0.24473193126571843,True
203,er_n8_p0.38,er,17.35,17,8,23,0.9999683743500564,0.6957252427829381,0.21332067838118637,0.1799699557637133,True
204,sp_sp5,sp,9.38,16,7,8,0.9865260870499267,0.0,0.0,0.0,False
205,sp_sp6,sp,4.92,7,8,10,0.0,0.0,0.0,0.0,False
206,mesh_2x4,mesh,5.48,21,8,20,0.0,0.0,0.0,0.0,False
207,sp_sp6,sp,3.75,19,8,10,0.0,0.0,0.0,0.0,False
208,sp_sp3,sp,4.72,14,5,7,0.0,0.0,0.0,0.0,False
209,sp_sp2,sp,19.59,16,4,3,0.9908193996380876,0.0,0.0,0.0,False
210,sp_sp6,sp,6.16,14,8,12,0.0,0.0,0.0,0.0,False
211,mesh_2x5,mesh,22.57,17,10,26,0.9944976685659837,0.10072659303317581,0.24087753858412653,0.2851993603359123,True
212,mesh_3x3,mesh,1.15,23,9,24,0.7497451484957076,0.21673036171575272,0.18131960593070218,0.19662613084793898,True
213,mesh_3x3,mesh,14.01,22,9,24,0.9999998983303784,0.46291004988627577,0.16406200195933957,0.13353038891161104,True
214,sp_sp9,sp,14.13,20,11,14,0.8008713421128133,-0.08474880603015357,0.04631235953908503,0.11488598819662771,True
215,er_n12_p0.42,er,7.72,12,12,57,0.040921096828020274,-0.2735574946560291,0.03536671515477625,0.07608276665789265,True
216,sp_sp4,sp,15.18,9,6,7,0.9059547082182641,0.0,0.0,0.0,False
217,mesh_3x4,mesh,3.6,21,12,34,0.834152756126041,0.6062618411672228,0.16696520632949022,0.12209469115674337,True
218,er_n9_p0.34,er,9.27,13,9,25,0.6143553743820138,0.3214285714285715,0.13695690003531574,0.12605574337767853,True
219,sp_sp3,sp,6.65,20,5,6,0.3591194436333212,-0.8660254037844387,0.0,0.1271372016339906,True
220,er_n10_p0.31,er,9.52,20,8,16,0.9521520564949498,0.0,0.0,0.0,False
221,er_n7_p0.33,er,12.39,14,7,19,0.30208128128171635,0.7999999999999999,0.21453258027699237,0.10704495399119827,True
222,sp_sp5,sp,30.44,13,7,9,0.8897087007111071,0.9733285267845753,0.1813736765940512,0.16742098186071794,True
223,er_n8_p0.36,er,12.64,20,8,20,0.5933894292271354,0.1878672873255449,0.16190476190459976,0.23570226039520956,True
224,sp_sp4,sp,3.98,20,6,9,0.0,0.0,0.0,0.0,False
225,mesh_2x5,mesh,4.16,19,10,26,0.0,0.0,0.0,0.0,False
226,er_n5_p0.43,er,30.28,12,5,6,0.9767186305060236,0.0,0.0,0.0,False
227,mesh_2x5,mesh,4.09,23,10,26,0.0,0.0,0.0,0.0,False
228,er_n4_p0.36,er,12.07,9,3,3,0.9755813356668138,0.0,0.0,0.0,False
229,er_n9_p0.38,er,9.1,14,9,27,0.3734110601626478,0.9285714285714288,0.20720654321083012,0.10380078577519512,True
230,sp_sp6,sp,27.34,19,8,8,0.9999997512286883,0.0,0.0,0.0,False
231,sp_sp4,sp,23.07,16,6,7,0.9996870748466484,-0.5443310539518174,0.0,0.035322027473472,True
232,er_n4_p0.38,er,9.88,13,4,6,0.9908372441346376,0.0,0.0,0.0,False
233,sp_sp10,sp,48.33,11,12,13,0.9999994165837525,-0.49896444486694574,0.12950807683018747,0.21913213730232942,True
234,er_n8_p0.38,er,11.45,15,5,9,0.9976468644925822,0.0,0.0,0.0,False
235,mesh_3x3,mesh,7.33,25,9,24,0.0,0.0,0.0,0.0,False
236,mesh_2x2,mesh,1.47,19,4,8,0.0,0.0,0.0,0.0,False
237,er_n11_p0.42,er,2.66,14,11,50,0.9561551673704348,0.7364081197050363,0.15422104251116797,0.10531733424080561,True
238,sp_sp6,sp,14.29,9,8,9,0.9991766627990052,0.0,0.0,0.0,False
239,er_n9_p0.42,er,13.12,9,9,29,0.2818591504881235,0.6486749731408026,0.19097516653823018,0.1078252800361137,True
240,er_n7_p0.42,er,8.93,11,7,19,0.16379225098275665,0.3,0.13328490830245948,0.059144810311540154,True
241,er_n5_p0.31,er,18.54,16,4,4,0.9665575298866059,0.0,0.0,0.0,False
242,er_n7_p0.39,er,8.44,16,4,5,0.9996603598240424,0.0,0.0,0.0,False
